"System";"Site";"Start_Date";"End_Date";"Logger_ID";"Orientation";"Direction";"Vertical_location";"Ch_0";"Ch_7";"Vegetation_cover_edge_ch";"Dominant_veg";"Weather";"Rain";"Moon_phase";"T_ch0_set_C";"T_mid_set_C";"T_ch7_set_C";"DO_ch0_set_AS";"DO_mid_set_AS";"DO_ch7_set_AS";"pH_ch0_set";"pH_mid_set";"pH_ch7_set";"Conductivity_ch0_set_uS";"Conductivity_mid_set_uS";"Conductivity_ch7_set_uS";"Depth_ch0_set_cm";"Depth_mid_set_cm";"Depth_ch7_set_cm";"Turbidity_set_NTU";"T_ch0_retr_C";"T_mid_retr_C";"T_ch7_retr_C";"DO_ch0_retr_AS";"DO_mid_retr_AS";"DO_ch7_retr_AS";"pH_ch0_retr";"pH_mid_retr";"pH_ch7_retr";"Conductivity_ch0_retr_uS";"Conductivity_mid_retr_uS";"Conductivity_ch7_retr_uS";"Depth_ch0_retr_cm";"Depth_mid_retr_cm";"Depth_ch7_retr_cm";"Turbidity_retr_NTU";"t_first_rec_start";"t_last_rec_end";"Recorded_dur_h";"Gain_factor";"Extraction_Threshold";"events_thresh";"BP_FFT_high_cutoff";"GPS_UTM_36M_East";"GPS_UTM_36M_North";"Notes";"t_meas_set";"t_meas_retr"
"LN";"LN2";2023-10-16;2023-10-18;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";7;"Miscanthidium, Lillies";NA;"yes";NA;26,6;26,4;26,8;8,8;42,6;37,3;5,3;5,1;5,05;29;23;23;200;175;182;6,76;25,5;25,7;25,8;21,6;93,9;56,7;5,86;5,13;5,21;26;25;24;59;200;182;9,93;45215,4001967593;45216,7266087963;31,8338888890576;100;"0.02";"0.02 + 0.04";"13kHz";374320;9957429;"water lillies, heavy rain";2023-10-16 09:27:40;2023-10-18 08:51:00
"LN";"LN3";2023-10-23;2023-10-25;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;25,2;25,7;25,7;63,8;72;76,6;6,06;6,12;6,05;21;22;23;68;83;89;9,98;25;25,1;25,3;52,3;49,8;47,2;5,23;5,19;5,25;21;20;21;69;78;89;10,74;45222,3982060185;45223,4676736111;25,6672222223715;100;"0.02";"0.02";"13kHz";374584;9959720;"Some EODs not detected - check!";2023-10-23 09:20:00;2023-10-25 08:44:20
"LN";"LN4";2023-10-30;2023-11-01;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;27,1;26,5;26,3;59,6;63,8;62,4;5,76;5,43;5,1;24;25;23;95;93;109;10,1875;25,1;25,8;26,1;41,4;41,4;48,8;4,85;5,62;5,76;23;23;23;82;101;111;8,5375;45229,4270138889;45230,4964583333;25,6666666666861;100;"0.02";"0.02";"13kHz";374467;9959722;"Lost time, correlated to L8 file, new_first_timestamp: 30/10/2023 10:14";2023-10-30 10:02:40;2023-11-01 09:01:40
"LN";"LN6";2023-11-06;2023-11-08;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;24,9;25,1;25,2;69,6;69,3;68,7;5,37;5,59;5,6;22;22;22;63;110;123;NA;23,9;24,1;24,2;71,9;69;68,4;5,96;6,09;6,04;22;21;21;63;110;119;NA;45236,404837963;45237,7451388889;32,1672222222551;100;"0.02";"0.02";"13kHz";381086;9962037;NA;2023-11-06 09:40:40;2023-11-08 08:32:20
"LN";"LN7";2023-11-13;2023-11-15;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;24;24,6;24,4;64,5;66,9;64,9;5,01;5,82;5,34;21;21;21;64;78;105;9,3225;25,5;25,4;25,3;37;51,1;55,4;5,73;5,88;5,35;22;21;21;59;78;97;9,105;45243,4347337963;45244,7819791667;32,3338888889411;100;"0.02";"0.02";"13kHz";379010;9962442;NA;2023-11-13 10:19:20;2023-11-15 09:00:00
"LN";"LN9";2023-11-20;2023-11-22;"L7";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;25;25,1;25,3;98,1;92,7;99,3;6,03;6,21;6,31;20;19;16;78;85,5;95;7,26;24,6;24,6;24,4;52,1;54,4;53,6;5,19;5,19;5,43;20;21;21;78;85,5;95;9,72;45250,4147800926;45251,762025463;32,3338888889411;100;"0.02";"0.02";"13kHz";376926;9962491;NA;2023-11-20 09:42:00;2023-11-22 09:15:20
"LN";"LN10";2023-11-20;2023-11-22;"L8";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;27,3;26,9;29,5;98,5;97,2;98,8;5,88;NA;NA;19;NA;NA;410;NA;NA;8,32;24,4;24,6;24,7;66,8;65,3;67,1;4,97;NA;NA;20;NA;NA;410;NA;NA;8,005;45250,4290393519;45251,7484606481;31,6661111110006;100;"0.02";"0.02";"13kHz";376986,5;9962358;"channel 1 goes dead in file L8-20231121T144747 - maybe due to lightning?? The logger had recorded more than 24h before, removed recordings with dead channel.";2023-11-20 10:06:00;2023-11-22 09:23:40
"LN";"LN5";2023-11-06;2023-11-08;"L8";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;25;25,1;25,2;68,3;67,5;76,3;5,56;5,45;5,62;22;22;22;94;113;119;9,1925;22,8;23,6;23,9;65,6;68,2;68,8;5,6;5,42;5,47;22;22;21;97;63;124;9,09;45236,3907986111;45237,7171643519;31,8327777778613;100;"0.02";"0.02";"13kHz";381026;9962052;NA;2023-11-06 06:13:00;2023-11-08 08:24:00
"LN";"LN8";2023-11-13;2023-11-15;"L8";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;24,3;24,4;24,3;85,3;87,1;87,2;5,12;NA;NA;21;NA;NA;300;NA;NA;NA;24,9;24,9;24,8;93,1;83,1;58,9;5,8;NA;NA;20;NA;NA;300;NA;NA;NA;45243,4222453704;45244,7416782407;31,6663888888434;100;"0.02";"0.02";"13kHz";380983;9961970;"almost nothing, weird noise";2023-11-13 09:59:20;2023-11-15 08:42:00
"LN";"LN11";2023-11-20;2023-11-22;"L9";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;26,4;25,7;25,3;37,7;48,6;60,1;5,49;4,73;4,73;21;21;20;210;225;210;NA;24,5;24,4;24,4;59,5;62,3;67;5,61;5,39;5,31;19;20;19;210;225;210;NA;45250,4504976852;45251,9921412037;36,999444444431;100;"0.02";"0.02";"13kHz";380078;9958544;NA;2023-11-20 10:41:20;2023-11-22 10:05:40
